recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,CommunityStatisticalAreas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted,ESRI_OID,lat,lng,datetime,date,dotw,week,time
10810751,1401020A62B71F3E,2022/06/25 10:44:00+00,High,WD,OVERDOSE,P221761572,EDMONDSON AV/POPLAR GROVE ST,EDMONDSON AV and POPLAR GROVE ST BALTIMORE MD,Penrose/Fayette Street Outreach,Southwestern,842,9,D8,Greater Rosemont,Census Tract 1606,NA,21223,1,0,1041,39.294512,-76.664775,2022-06-25T10:44:00Z,2022-06-25,7,26,10:44:00
10826890,1401020A62BBF751,2022/06/29 02:55:00+00,High,ND,OVERDOSE,P221800526,2400 BLK BRENTWOOD AV,2400 BLK BRENTWOOD AV BALTIMORE MD,Barclay,Eastern,341,12,D2,Greater Charles Village/Barclay,Census Tract 1204,NA,21218,1,0,6483,39.319732,-76.649533,2022-06-29T02:55:00Z,2022-06-29,4,26,02:55:00
10792838,1401020A62B1E684,2022/06/21 11:40:00+00,High,WD,OVERDOSE,P221721938,2400 PENNSYLVANIA AV,2400 PENNSYLVANIA AV BALTIMORE MD,Penn North,Western,733,7,D9,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,21217,1,0,8005,39.309252,-76.641993,2022-06-21T11:40:00Z,2022-06-21,3,25,11:40:00
10828023,1401020A62BC6AD1,2022/06/29 11:08:00+00,High,NW,OVERDOSE,P221801774,3700 W BELVEDERE AV,3700 W BELVEDERE AV BALTIMORE MD,Arlington,Northwestern,633,5,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.01,Northwestern,21215,1,0,12287,39.346427,-76.680555,2022-06-29T11:08:00Z,2022-06-29,4,26,11:08:00
10794687,1401020A62B257EC,2022/06/21 19:44:00+00,High,SE,OVERDOSE,P221723899,6600 HOLABIRD AV,6600 HOLABIRD AV BALTIMORE MD,Broening Manor,Southeastern,243,1,D7,Southeastern,Census Tract 2606.05,NA,21224,1,0,15247,39.272713,-76.533652,2022-06-21T19:44:00Z,2022-06-21,3,25,19:44:00
10869876,1401020A62C89204,2022/07/08 16:22:00+00,High,SE,OVERDOSE,P221892861,6100 HOLABIRD AV,6100 HOLABIRD AV BALTIMORE MD,Broening Manor,Southeastern,243,1,D7,Southeastern,Census Tract 2606.05,NA,21224,1,0,21315,39.272379,-76.542866,2022-07-08T16:22:00Z,2022-07-08,6,27,16:22:00
10391233,1CC9DA962390024,2022/03/21 18:45:00+00,High,WD,OVERDOSE,P220803570,W LANVALE ST/N FULTON AV,W LANVALE ST and N FULTON AV BALTIMORE MD,Harlem Park,Western,722,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1603,NA,21217,1,0,23950,39.319732,-76.649533,2022-03-21T18:45:00Z,2022-03-21,2,12,18:45:00
11120159,20CC9DA96312040A,2022/09/02 09:24:00+00,High,NW,OVERDOSE,P222451728,4400 GARRISON BL,4400 GARRISON BL BALTIMORE MD,Dolfield,Northwestern,642,6,D1,Dorchester/Ashburton,Census Tract 1510,NA,21215,1,0,30842,39.336875,-76.685192,2022-09-02T09:24:00Z,2022-09-02,6,35,09:24:00
10836462,1401020A62BEB876,2022/07/01 05:03:00+00,High,SD,OVERDOSE,P221820832,1500 WASHINGTON BL,1500 WASHINGTON BL BALTIMORE MD,Carroll Park,Southern,935,10,D7,Washington Village/Pigtown,Census Tract 2102,NA,21230,1,0,42154,39.279149,-76.641783,2022-07-01T05:03:00Z,2022-07-01,6,26,05:03:00
10838662,1401020A62BF5D4D,2022/07/01 16:47:00+00,High,WD,OVERDOSE,P221823084,SHOPPERS,SHOPPERS BALTIMORE MD,Mondawmin,Western,731,7,D9,Greater Mondawmin,Census Tract 1505,NA,21215,1,0,50352,39.3549,-76.634044,2022-07-01T16:47:00Z,2022-07-01,6,26,16:47:00
10839514,1401020A62BF90B3,2022/07/01 20:26:00+00,High,CD,OVERDOSE,P221824123,100 E FAYETTE ST,100 E FAYETTE ST BALTIMORE MD,Downtown,Central,111,11,D7,Downtown/Seton Hill,Census Tract 401,NA,21202,1,0,54159,39.290489,-76.613901,2022-07-01T20:26:00Z,2022-07-01,6,26,20:26:00
10841007,1401020A62BFF506,2022/07/02 03:34:00+00,High,SW,OVERDOSE,P221830826,2700 WASHINGTON BL,2700 WASHINGTON BL BALTIMORE MD,Morrell Park,Southwestern,831,10,D10,Morrell Park/Violetville,Census Tract 2502.06,NA,21230,1,0,59378,39.264561,-76.655214,2022-07-02T03:34:00Z,2022-07-02,7,27,03:34:00
10347227,5301020A622BE890,2022/03/11 19:25:00+00,High,SD,OVERDOSE,P220704064,1800 HOLLINS ST,1800 HOLLINS ST BALTIMORE MD,Franklin Square,Southern,934,9,D8,Southwest Baltimore,Census Tract 1903,Tri-District,21223,1,0,60555,39.287464,-76.646025,2022-03-11T19:25:00Z,2022-03-11,6,10,19:25:00
10348206,5301020A622C25E1,2022/03/11 23:47:00+00,High,NE,OVERDOSE,P220704879,4400 BOWLEYS LN,4400 BOWLEYS LN BALTIMORE MD,Frankford,Northeastern,443,2,D6,Cedonia/Frankford,Census Tract 2602.02,NA,21206,1,0,60580,39.32619,-76.559625,2022-03-11T23:47:00Z,2022-03-11,6,10,23:47:00
10884814,5301020A62CD85B0,2022/07/12 10:31:00+00,High,NE,OVERDOSE,P221931596,3000 BRENDAN AV,3000 BRENDAN AV BALTIMORE MD,Belair-Edison,Northeastern,432,13,D5,Belair-Edison,Census Tract 2603.01,Northeastern,21213,1,0,61092,39.32342,-76.570936,2022-07-12T10:31:00Z,2022-07-12,3,28,10:31:00
10362456,5301020A6230B27F,2022/03/15 11:36:00+00,High,SE,OVERDOSE,P220742080,1000 E BALTIMORE ST,1000 E BALTIMORE ST BALTIMORE MD,Jonestown,Southeastern,211,12,D7,Harbor East/Little Italy,Census Tract 302,NA,21202,1,0,61464,39.29048,-76.603146,2022-03-15T11:36:00Z,2022-03-15,3,11,11:36:00
10886711,5301020A62CDF6DF,2022/07/12 18:34:00+00,High,SW,OVERDOSE,P221933531,1900 WHISTLER AV,1900 WHISTLER AV BALTIMORE MD,Morrell Park,Southwestern,831,10,D7,Morrell Park/Violetville,Census Tract 2503.03,NA,21230,1,0,61705,39.266377,-76.652806,2022-07-12T18:34:00Z,2022-07-12,3,28,18:34:00
10893848,5301020A62D0399B,2022/07/14 11:43:00+00,High,WD,OVERDOSE,P221952041,1500 W NORTH AV,1500 W NORTH AV BALTIMORE MD,Druid Heights,Central,131,7,D8,Upton/Druid Heights,Census Tract 1403,Western,21217,1,0,61811,39.310264,-76.641656,2022-07-14T11:43:00Z,2022-07-14,5,28,11:43:00
10896266,5301020A62D0E652,2022/07/15 00:00:00+00,High,SD,OVERDOSE,P221960013,300 S PAYSON ST,300 S PAYSON ST BALTIMORE MD,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 2003,Tri-District,21223,1,0,61876,39.284056,-76.648681,2022-07-15T00:00:00Z,2022-07-15,6,28,00:00:00
11347235,5301020A634E9587,2022/10/18 08:01:00+00,High,CD,OVERDOSE,P222911716,W NORTH AV/W MT ROYAL AV,W NORTH AV and W MT ROYAL AV BALTIMORE MD,Bolton Hill,Central,132,11,D8,Midtown,Census Tract 1401,NA,21217,1,0,62459,39.319732,-76.649533,2022-10-18T08:01:00Z,2022-10-18,3,42,08:01:00
10901967,5301020A62D2B23A,2022/07/16 08:42:00+00,High,CD,OVERDOSE,P221971211,E BIDDLE ST/N CHARLES ST,E BIDDLE ST and N CHARLES ST BALTIMORE MD,Mid-Town Belvedere,Central,141,12,D8,Midtown,Census Tract 1102,NA,21201,1,0,63238,39.319732,-76.649533,2022-07-16T08:42:00Z,2022-07-16,7,29,08:42:00
10904597,5301020A62D37ECE,2022/07/16 23:15:00+00,High,SW,OVERDOSE,P221974106,3400 CLIFTON AV,3400 CLIFTON AV BALTIMORE MD,Mount Holly,Southwestern,812,7,D9,Greater Rosemont,Census Tract 1506,NA,21216,1,0,63272,39.311032,-76.674239,2022-07-16T23:15:00Z,2022-07-16,7,29,23:15:00
11648208,5301020A639F583F,2022/12/18 13:13:00+00,High,SE,OVERDOSE,P223522006,S BETHEL ST/E PRATT ST,S BETHEL ST and E PRATT ST BALTIMORE MD,Washington Hill,Southeastern,212,12,D7,Harbor East/Little Italy,Census Tract 301,NA,21231,1,0,63651,39.319732,-76.649533,2022-12-18T13:13:00Z,2022-12-18,1,51,13:13:00
